type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	SB_Risk%  	B_Risk%   	SO_Risk%  	O_Risk%   	SB_VaR    	B_VaR     	SO_VaR    	O_VaR     	T_VaR     	SB_CVaR   	B_CVaR    	SO_CVaR   	O_CVaR    	ST_CVaR   	T_CVaR    
tm        	0.03-0.21 	28973.4649	0.03      	1593.2773 	5106.90467225	5106.90467225	26.145    	26.10424892	0.195     	0.19567535	-10609.37432761	-10619.48332422	-4689.30617789	-4704.57193372	-15324.05525794	-12544.44068743	-12502.82686235	-4851.74271097	-4864.64887307	-17396.1833984	-17367.47573543
tm        	0.03-0.22 	28606.7122	0.03      	1669.1476 	5106.90467225	5106.90467225	25.946    	25.97066662	1.206     	1.19522417	-10676.08717574	-10706.96233382	-4832.79330228	-4842.23158803	-15549.19392185	-12582.16371502	-12644.72170857	-4996.99845432	-5004.84647913	-17579.16216934	-17649.5681877
tm        	0.03-0.23 	28239.9595	0.03      	1745.018  	5106.90467225	5106.90467225	25.836    	25.83708432	2.936     	2.94391044	-10777.82402855	-10797.99862551	-4978.79154884	-4979.89380308	-15777.89242858	-12779.44482144	-12789.08591228	-5144.36403812	-5145.07441314	-17923.80885955	-17934.16032542
tm        	0.03-0.24 	27873.2068	0.03      	1820.8883 	5106.90467225	5106.90467225	25.748    	25.70350202	5.241     	5.16896591	-10847.31751736	-10892.38727759	-5116.88304511	-5117.55833024	-16009.94560784	-12936.1546639	-12935.77584627	-5282.61723799	-5285.32956384	-18218.7719019	-18221.1054101
tm        	0.03-0.25 	27506.454 	0.03      	1896.7587 	5106.90467225	5106.90467225	25.337    	25.56991972	7.302     	7.25823383	-11011.85173134	-10989.94206644	-5268.94121789	-5255.22494906	-16245.1670155	-13135.13947559	-13084.66117602	-5436.11416611	-5425.61078102	-18571.2536417	-18510.27195704
tm        	0.03-0.26 	27139.7013	0.03      	1972.629  	5106.90467225	5106.90467225	25.39     	25.43633742	9.241     	9.18678884	-11133.0513599	-11090.49319434	-5388.73072475	-5392.89346352	-16483.38665786	-13268.2692394	-13235.62321249	-5562.39028477	-5565.91700039	-18830.65952417	-18801.54021288
tm        	0.03-0.27 	26772.9486	0.03      	2048.4993 	5106.90467225	5106.90467225	25.51     	25.30275512	10.95     	10.97248791	-11145.50122332	-11193.88535503	-5533.47204071	-5530.56369902	-16724.44905404	-13326.52663315	-13388.55351619	-5709.88877997	-5706.2456351	-19036.41541312	-19094.79915129
tm        	0.03-0.28 	26406.1959	0.03      	2124.3697 	5106.90467225	5106.90467225	25.118    	25.16917282	12.54     	12.63063706	-11252.18569175	-11299.97607882	-5688.61299557	-5668.23549959	-16968.21157842	-13500.67649929	-13543.35270774	-5864.97277411	-5846.59542798	-19365.6492734	-19389.94813572
tm        	0.03-0.29 	26039.4432	0.03      	2200.24   	5106.90467225	5106.90467225	24.865    	25.03559052	14.178    	14.17443109	-11390.09809718	-11408.63430987	-5804.78951172	-5805.9087257	-17214.54303557	-13716.25392553	-13699.92944891	-5993.09980103	-5986.96567951	-19709.35372656	-19686.89512842
tm        	0.03-0.3  	25672.6904	0.03      	2276.1104 	5106.90467225	5106.90467225	24.814    	24.90200822	15.678    	15.61530552	-11469.43429069	-11519.73917789	-5943.76568366	-5943.58325217	-17463.32243006	-13829.50384943	-13858.1995656	-6130.01136057	-6127.35544386	-19959.51520999	-19985.55500946
tm        	0.03-0.31 	25305.9377	0.03      	2351.9807 	5106.90467225	5106.90467225	24.984    	24.76842592	16.872    	16.9632203	-11652.27833906	-11633.17893295	-6087.2924716	-6081.25896656	-17714.43789951	-13988.02393451	-14018.08528926	-6274.14587128	-6267.76258481	-20262.16980578	-20285.84787407
tm        	0.03-0.32 	24939.185 	0.03      	2427.8511 	5106.90467225	5106.90467225	24.643    	24.63484362	18.41     	18.22689042	-11769.01203528	-11748.850018	-6207.0798574	-6218.93576763	-17967.78578563	-14137.92270082	-14179.51459808	-6397.86974289	-6408.18633755	-20535.79244371	-20587.70093563
tm        	0.03-0.33 	24572.4323	0.03      	2503.7214 	5106.90467225	5106.90467225	24.424    	24.50126132	19.335    	19.41397446	-11818.20219224	-11866.65625824	-6367.80033025	-6356.6135641	-18223.26982234	-14319.40018686	-14342.4206423	-6559.70675874	-6548.62619592	-20879.1069456	-20891.04683822
tm        	0.03-0.34 	24205.6795	0.03      	2579.5918 	5106.90467225	5106.90467225	24.351    	24.36767902	20.492    	20.53123004	-11964.6050095	-11986.50814998	-6483.32219035	-6494.2922735	-18480.80042348	-14460.62860618	-14506.7412411	-6679.81534375	-6689.08167675	-21140.44394993	-21195.82291786
tm        	0.03-0.35 	23838.9268	0.03      	2655.4621 	5106.90467225	5106.90467225	24.168    	24.23409672	21.632    	21.58464243	-12074.26246845	-12108.32223449	-6638.67914631	-6631.97182118	-18740.29405568	-14615.97445188	-14672.41844036	-6836.06259406	-6829.55136857	-21452.03704594	-21501.96980893
tm        	0.03-0.36 	23472.1741	0.03      	2731.3325 	5106.90467225	5106.90467225	24.093    	24.10051442	22.778    	22.57953192	-12286.00946448	-12232.02054504	-6766.62621379	-6769.65213951	-19001.67268455	-14854.58064575	-14839.39812263	-6964.70459137	-6970.03410671	-21819.28523713	-21809.43222934
