type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_CVaR    	O_CVaR    	T_CVaR    
tm        	11662.4832	0.7831    	1201.6571 	5106.90467225	5106.90467225	0         	24.59356964	-2582.57564879	-9102.07860971	-11684.6542585
tm        	11658.8062	0.7832    	1201.8903 	5106.90467225	5106.90467225	0         	24.59732195	-2581.52202855	-9103.2022462	-11684.72427474
tm        	11655.1298	0.7833    	1202.1233 	5106.90467225	5106.90467225	0         	24.60107306	-2580.46859503	-9104.32574558	-11684.79434061
tm        	11651.458 	0.7834    	1202.3554 	5106.90467225	5106.90467225	0         	24.60482109	-2579.41633501	-9105.44812111	-11684.86445612
tm        	11647.7787	0.7835    	1202.589  	5106.90467225	5106.90467225	0         	24.6085716	-2578.36228823	-9106.57233307	-11684.9346213
tm        	11644.0999	0.7836    	1202.8225 	5106.90467225	5106.90467225	0         	24.6123209	-2577.30842856	-9107.6964076	-11685.00483616
tm        	11640.4298	0.7837    	1203.0542 	5106.90467225	5106.90467225	0         	24.61606528	-2576.25672847	-9108.81837226	-11685.07510073
tm        	11636.7522	0.7838    	1203.2875 	5106.90467225	5106.90467225	0         	24.61981215	-2575.2032427	-9109.94217234	-11685.14541504
tm        	11633.0833	0.7839    	1203.519  	5106.90467225	5106.90467225	0         	24.6235541	-2574.15191584	-9111.06386327	-11685.2157791
tm        	11629.4069	0.784     	1203.752  	5106.90467225	5106.90467225	0         	24.62729853	-2573.09880401	-9112.18738893	-11685.28619294
tm        	11625.731 	0.7841    	1203.9849 	5106.90467225	5106.90467225	0         	24.63104174	-2572.04587935	-9113.31077723	-11685.35665658
tm        	11622.0556	0.7842    	1204.2177 	5106.90467225	5106.90467225	0         	24.63478375	-2570.99314187	-9114.43402818	-11685.42717004
tm        	11618.3809	0.7843    	1204.4504 	5106.90467225	5106.90467225	0         	24.63852453	-2569.94059157	-9115.55714178	-11685.49773335
tm        	11614.7067	0.7844    	1204.6829 	5106.90467225	5106.90467225	0         	24.6422641	-2568.88822846	-9116.68011806	-11685.56834652
tm        	11611.0331	0.7845    	1204.9154 	5106.90467225	5106.90467225	0         	24.64600246	-2567.83605257	-9117.80295701	-11685.63900958
tm        	11607.356 	0.7846    	1205.1485 	5106.90467225	5106.90467225	0         	24.64974145	-2566.78307923	-9118.92664332	-11685.70972255
tm        	11603.6795	0.7847    	1205.3816 	5106.90467225	5106.90467225	0         	24.65347923	-2565.73029347	-9120.05019199	-11685.78048546
tm        	11600.0076	0.7848    	1205.6137 	5106.90467225	5106.90467225	0         	24.65721394	-2564.67867961	-9121.17261871	-11685.85129832
tm        	11596.3282	0.7849    	1205.8473 	5106.90467225	5106.90467225	0         	24.66095114	-2563.62528474	-9122.29687643	-11685.92216117
tm        	11592.6575	0.785     	1206.0792 	5106.90467225	5106.90467225	0         	24.66468343	-2562.57404574	-9123.41902827	-11685.99307401
tm        	11588.9874	0.7851    	1206.3109 	5106.90467225	5106.90467225	0         	24.66841451	-2561.52299402	-9124.54104286	-11686.06403688
tm        	11585.3096	0.7852    	1206.5442 	5106.90467225	5106.90467225	0         	24.67214807	-2560.47016236	-9125.66488743	-11686.13504979
tm        	11581.6325	0.7853    	1206.7773 	5106.90467225	5106.90467225	0         	24.67588041	-2559.41751869	-9126.78859408	-11686.20611278
tm        	11577.9641	0.7854    	1207.0087 	5106.90467225	5106.90467225	0         	24.67960786	-2558.36702956	-9127.9101963	-11686.27722586
tm        	11574.2799	0.7855    	1207.2433 	5106.90467225	5106.90467225	0         	24.68334146	-2557.31279539	-9129.03559365	-11686.34838905
tm        	11570.6127	0.7856    	1207.4744 	5106.90467225	5106.90467225	0         	24.68706649	-2556.2626816	-9130.15692077	-11686.41960238
tm        	11566.9338	0.7857    	1207.708  	5106.90467225	5106.90467225	0         	24.69079583	-2555.20980694	-9131.28105893	-11686.49086586
tm        	11563.2637	0.7858    	1207.9397 	5106.90467225	5106.90467225	0         	24.69452028	-2554.15908581	-9132.40309374	-11686.56217954
tm        	11559.5818	0.7859    	1208.1739 	5106.90467225	5106.90467225	0         	24.69824903	-2553.10560521	-9133.52793821	-11686.63354342
tm        	11555.9087	0.786     	1208.4062 	5106.90467225	5106.90467225	0         	24.7019729	-2552.05427782	-9134.65067971	-11686.70495753
tm        	11552.2362	0.7861    	1208.6384 	5106.90467225	5106.90467225	0         	24.70569556	-2551.00313852	-9135.77328337	-11686.77642189
tm        	11548.5602	0.7862    	1208.8713 	5106.90467225	5106.90467225	0         	24.70941886	-2549.95120544	-9136.89673108	-11686.84793652
tm        	11544.8848	0.7863    	1209.1042 	5106.90467225	5106.90467225	0         	24.71314094	-2548.89946082	-9138.02004064	-11686.91950146
tm        	11541.21  	0.7864    	1209.3368 	5106.90467225	5106.90467225	0         	24.71686181	-2547.84790467	-9139.14321204	-11686.99111671
tm        	11537.5357	0.7865    	1209.5694 	5106.90467225	5106.90467225	0         	24.72058148	-2546.796537	-9140.26624531	-11687.06278231
tm        	11533.858 	0.7866    	1209.8027 	5106.90467225	5106.90467225	0         	24.72430177	-2545.74437666	-9141.39012163	-11687.13449828
tm        	11530.189 	0.7867    	1210.0342 	5106.90467225	5106.90467225	0         	24.72801719	-2544.69436714	-9142.5118975	-11687.20626464
tm        	11526.5124	0.7868    	1210.2673 	5106.90467225	5106.90467225	0         	24.73173506	-2543.64258416	-9143.63549725	-11687.27808141
tm        	11522.8363	0.7869    	1210.5002 	5106.90467225	5106.90467225	0         	24.73545174	-2542.59099006	-9144.75895856	-11687.34994862
tm        	11519.1609	0.787     	1210.733  	5106.90467225	5106.90467225	0         	24.7391672	-2541.53958483	-9145.88228145	-11687.42186628
tm        	11515.4942	0.7871    	1210.964  	5106.90467225	5106.90467225	0         	24.7428778	-2540.49032911	-9147.00350533	-11687.49383444
tm        	11511.8118	0.7872    	1211.1983 	5106.90467225	5106.90467225	0         	24.74659452	-2539.4373411	-9148.12851199	-11687.56585309
tm        	11508.1381	0.7873    	1211.4308 	5106.90467225	5106.90467225	0         	24.75030637	-2538.38650261	-9149.25141967	-11687.63792228
tm        	11504.465 	0.7874    	1211.6631 	5106.90467225	5106.90467225	0         	24.75401701	-2537.33585305	-9150.37418897	-11687.71004202
tm        	11500.7844	0.7875    	1211.897  	5106.90467225	5106.90467225	0         	24.75773011	-2536.28343325	-9151.4987791	-11687.78221234
tm        	11497.1165	0.7876    	1212.1282 	5106.90467225	5106.90467225	0         	24.76143652	-2535.23414136	-9152.62029189	-11687.85443325
tm        	11493.4411	0.7877    	1212.3611 	5106.90467225	5106.90467225	0         	24.76514538	-2534.1830796	-9153.7436252	-11687.92670479
tm        	11489.7704	0.7878    	1212.5929 	5106.90467225	5106.90467225	0         	24.76885121	-2533.13318624	-9154.86584074	-11687.99902698
tm        	11486.092 	0.7879    	1212.8263 	5106.90467225	5106.90467225	0         	24.77255949	-2532.08152407	-9155.98987576	-11688.07139984
tm        	11482.4143	0.788     	1213.0596 	5106.90467225	5106.90467225	0         	24.77626657	-2531.03005161	-9157.11377178	-11688.14382339
