time      	proj_id   	c_fixed   	c_low     	c_high    	d_low     	d_high    	disc_rate 	b_t_enpv  	o_income  	cont_type 	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
2025-10-16 17:11:28	023       	-5000     	-40000    	-1000     	1         	10        	0.1       	5000      	75000     	lh        	37261.0882	0         	0         	5000.0    	22515.78859902	30.00163871	25.82344155	-10440.15611825	-7993.39700906	-18433.55312731
2025-10-16 17:11:28	023       	-5000     	-40000    	-1000     	1         	10        	0.1       	5000      	75000     	tm        	15927.848 	0.75      	456.8199  	5000.0    	22515.78859902	0         	31.61902035	-3602.83013673	-11518.37797981	-15121.20811654
2025-10-16 17:11:27	022       	-5000     	-40000    	-1000     	1         	10        	0.3       	5000      	50000     	ls        	59572.0446	0         	0         	5000.0    	-2449.84481731	36.63251191	0         	-8126.38008592	-3745.80144097	-11872.18152689
2025-10-16 17:11:27	022       	-5000     	-40000    	-1000     	1         	10        	0.3       	5000      	50000     	cp        	57558.9309	0.0789    	0         	5000.0    	-2449.84481731	36.36064006	0.6438712 	-8067.24097886	-3730.6523804	-11797.89335926
2025-10-16 17:11:27	022       	-5000     	-40000    	-1000     	1         	10        	0.3       	5000      	50000     	lh        	38873.7044	0         	5617.0608 	5000.0    	-2449.84481731	16.88007712	0         	-6153.01493036	-1343.55495868	-7496.56988903
2025-10-16 17:11:27	022       	-5000     	-40000    	-1000     	1         	10        	0.3       	5000      	50000     	tm        	28412.8312	0.1492    	7423.4328 	5000.0    	-2449.84481731	9.6680404 	0         	-5488.03849511	-1494.95577089	-6982.994266
2025-10-16 17:11:11	021       	-5000     	-40000    	-1000     	1         	10        	0.4       	5000      	100000    	ls        	75714.3507	0         	0         	5000.0    	4398.43065783	44.99530003	0         	-8845.89579448	-3865.89977559	-12711.79557007
2025-10-16 17:11:11	021       	-5000     	-40000    	-1000     	1         	10        	0.4       	5000      	100000    	cp        	67924.6349	0.3055    	0         	5000.0    	4398.43065783	44.67857479	0         	-8805.77903175	-3873.16074402	-12678.93977577
2025-10-16 17:11:11	021       	-5000     	-40000    	-1000     	1         	10        	0.4       	5000      	100000    	lh        	54433.156 	0         	6553.7496 	5000.0    	4398.43065783	34.97583768	0         	-7910.13367151	-4770.44009816	-12680.57376966
2025-10-16 17:11:11	021       	-5000     	-40000    	-1000     	1         	10        	0.4       	5000      	100000    	tm        	42088.0828	0.3044    	7965.2385 	5000.0    	4398.43065783	32.34689137	-78.17598528	-7698.2122111	-4836.60331931	-12534.81553041
2025-10-16 17:11:01	020       	-5000     	-40000    	-1000     	1         	10        	0.25      	5000      	100000    	ls        	52794.3738	0         	0         	5000.0    	14617.29105048	31.26385532	40.40220202	-7825.07149089	-10281.02732801	-18106.0988189
2025-10-16 17:11:01	020       	-5000     	-40000    	-1000     	1         	10        	0.25      	5000      	100000    	cp        	37652.922 	0.5938    	0         	5000.0    	14617.29105048	28.65593264	40.8561436	-7133.73808557	-10427.59427912	-17561.33236469
2025-10-16 17:11:01	020       	-5000     	-40000    	-1000     	1         	10        	0.25      	5000      	100000    	lh        	41710.1695	0         	2813.5022 	5000.0    	14617.29105048	18.03689032	45.84599279	-6328.56317978	-11730.99864646	-18059.56182624
2025-10-16 17:11:01	020       	-5000     	-40000    	-1000     	1         	10        	0.25      	5000      	100000    	tm        	29436.2052	0.5625    	2288.1288 	5000.0    	14617.29105048	16.1363071	45.24189263	-5961.71179489	-11599.6205698	-17561.33236469
2025-10-16 17:11:00	019       	-5000     	-40000    	-1000     	1         	10        	0.15      	5000      	100000    	ls        	41673.886 	0         	0         	5000.0    	27546.24918073	27.23557081	40.70509638	-8526.36745932	-13623.14101789	-22149.50847721
2025-10-16 17:11:00	019       	-5000     	-40000    	-1000     	1         	10        	0.15      	5000      	100000    	cp        	22965.5139	0.7337    	0         	5000.0    	27546.24918073	7.31320879	41.46166283	-5271.29470423	-14520.43818063	-19791.73288486
2025-10-16 17:11:00	019       	-5000     	-40000    	-1000     	1         	10        	0.15      	5000      	100000    	lh        	41673.886 	0         	0         	5000.0    	27546.24918073	27.23557081	40.70509638	-8526.36745932	-13623.14101789	-22149.50847721
2025-10-16 17:11:00	019       	-5000     	-40000    	-1000     	1         	10        	0.15      	5000      	100000    	tm        	20157.3436	0.75      	529.4562  	5000.0    	27546.24918073	2.22545772	42.54665606	-4612.83852853	-15178.89435633	-19791.73288486
