type      	subtype   	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk%   	O_Risk%   	B_VaR     	O_VaR     	T_VaR     	B_CVaR    	O_CVaR    	T_CVaR    
tm        	0.54-0.7  	7101.0816 	0.54      	3427.678  	5106.90467225	5106.90467225	12.67053638	29.8005927	-8273.0014338	-9955.51524936	-18228.51668316	-10178.05334846	-10769.04270385	-20947.09605231
tm        	0.54-0.71 	6864.3789 	0.54      	3476.6448 	5106.90467225	5106.90467225	12.89338884	30.14112345	-8380.33110918	-10033.03274245	-18413.36385163	-10304.96203106	-10851.39858677	-21156.36061783
tm        	0.54-0.72 	6627.6762 	0.54      	3525.6116 	5106.90467225	5106.90467225	13.11624278	30.48177109	-8488.2083165	-10110.6701834	-18598.8784999	-10432.24240659	-10933.83725459	-21366.07966118
tm        	0.54-0.73 	6390.9735 	0.54      	3574.5784 	5106.90467225	5106.90467225	13.33909813	30.8225308	-8596.61868012	-10188.42487307	-18785.04355319	-10559.88488142	-11016.35683617	-21576.24171759
tm        	0.54-0.74 	6154.2707 	0.54      	3623.5453 	5106.90467225	5106.90467225	13.56195481	31.16339806	-8705.54845197	-10266.29421129	-18971.84266325	-10687.88027175	-11098.95552936	-21786.83580111
tm        	0.54-0.75 	5917.568  	0.54      	3672.5121 	5106.90467225	5106.90467225	13.78481277	31.50436855	-8814.98447334	-10344.27569188	-19159.26016522	-10816.21977929	-11181.63159752	-21997.85137681
tm        	0.54-0.76 	5680.8653 	0.54      	3721.4789 	5106.90467225	5106.90467225	14.00767192	31.84413377	-8924.91413965	-10422.36689801	-19347.28103766	-10944.89496877	-11264.38336623	-22209.278335
tm        	0.54-0.77 	5444.1626 	0.54      	3770.4458 	5106.90467225	5106.90467225	14.23053222	32.17603676	-9035.32536786	-10500.56549782	-19535.89086568	-11073.89774715	-11347.20922023	-22421.10696738
tm        	0.54-0.78 	5207.4598 	0.54      	3819.4126 	5106.90467225	5106.90467225	14.45339361	32.49942942	-9146.20656646	-10578.8692403	-19725.07580676	-11203.22034431	-11430.10760055	-22633.32794487
tm        	0.54-0.79 	4970.7571 	0.54      	3868.3794 	5106.90467225	5106.90467225	14.67625603	32.81463492	-9257.5466075	-10657.27595144	-19914.82255894	-11332.85529517	-11513.07700184	-22845.93229701
