type      	reward    	rate      	salary    	B_ENPV    	O_ENPV    	B_Risk    	O_Risk    	B_VaR     	O_VaR     	T_VaR     
tm        	0.0001    	0.5286    	4956.986  	5106.90467225	5106.90467225	19.67957349	38.2139871	-11923.71143572	-12365.65233157	-24289.36376729
tm        	0.0001    	0.5139    	5034.4389 	5106.90467225	5106.90467225	20.08199097	38.50916674	-12229.42858837	-12420.1869414	-24649.61552976
tm        	0.0001    	0.4992    	5111.8918 	5106.90467225	5106.90467225	20.47098943	38.79540155	-12535.28375501	-12476.49007453	-25011.77382954
tm        	0.0001    	0.4845    	5189.3447 	5106.90467225	5106.90467225	20.84720067	39.07309203	-12841.26641863	-12534.57612298	-25375.84254161
tm        	0.0001    	0.4698    	5266.7976 	5106.90467225	5106.90467225	21.21122001	39.34261514	-13147.36710671	-12594.46318854	-25741.83029525
tm        	0.0001    	0.4552    	5344.2505 	5106.90467225	5106.90467225	21.56360855	39.604326 	-13453.57726436	-12656.17328997	-26109.75055433
tm        	0.0001    	0.4405    	5421.7034 	5106.90467225	5106.90467225	21.90489536	39.8585594	-13759.88914562	-12719.73261689	-26479.62176251
tm        	0.0001    	0.4258    	5499.1563 	5106.90467225	5106.90467225	22.2355795	40.10563129	-14066.29571985	-12785.17183685	-26851.4675567
tm        	0.0001    	0.4111    	5576.6092 	5106.90467225	5106.90467225	22.55613193	40.34584008	-14372.79059087	-12852.52646421	-27225.31705508
tm        	0.0001    	0.3964    	5654.0622 	5106.90467225	5106.90467225	22.86699736	40.5794678	-14679.36792684	-12921.83730132	-27601.20522816
tm        	0.0001    	0.3817    	5731.5151 	5106.90467225	5106.90467225	23.16859587	40.80678126	-14986.02239924	-12993.15096548	-27979.17336472
tm        	0.0001    	0.3671    	5808.968  	5106.90467225	5106.90467225	23.46132451	41.02803303	-15292.74912963	-13066.52051847	-28359.2696481
tm        	0.0001    	0.3524    	5886.4209 	5106.90467225	5106.90467225	23.74555879	41.24346239	-15599.54364308	-13142.00621996	-28741.54986304
tm        	0.0001    	0.3377    	5963.8738 	5106.90467225	5106.90467225	24.02165402	41.45329617	-15906.40182717	-13219.67643239	-29126.07825956
tm        	0.0001    	0.323     	6041.3267 	5106.90467225	5106.90467225	24.28994657	41.6577496	-16213.31991604	-13299.60870362	-29512.92861966
tm        	0.0001    	0.3083    	6118.7796 	5106.90467225	5106.90467225	24.5507551	41.857027 	-16520.29437755	-13381.89112607	-29902.18550361
tm        	0.0001    	0.2936    	6196.2325 	5106.90467225	5106.90467225	24.80438162	42.05132246	-16827.32200792	-13466.62389878	-30293.9459067
tm        	0.0001    	0.279     	6273.6854 	5106.90467225	5106.90467225	25.05111255	42.24082051	-17134.399824	-13553.92135316	-30688.32117717
tm        	0.0001    	0.2643    	6351.1383 	5106.90467225	5106.90467225	25.29121969	42.42569664	-17441.52506197	-13643.91441252	-31085.4394745
tm        	0.0001    	0.2496    	6428.5912 	5106.90467225	5106.90467225	25.52496105	42.60611794	-17748.69515751	-13736.75368838	-31485.44884589
tm        	0.0001    	0.2349    	6506.0441 	5106.90467225	5106.90467225	25.75258175	42.78224348	-18055.90772807	-13832.6134079	-31888.52113597
tm        	0.0001    	0.2202    	6583.497  	5106.90467225	5106.90467225	25.97431475	42.9542249	-18363.16055708	-13931.69646046	-32294.85701753
tm        	0.0001    	0.2056    	6660.9499 	5106.90467225	5106.90467225	26.1903816	43.12220675	-18670.4515797	-14034.24097794	-32704.69255764
tm        	0.0001    	0.1909    	6738.4028 	5106.90467225	5106.90467225	26.40099307	43.28632695	-18977.77887003	-14140.52905901	-33118.30792905
tm        	0.0001    	0.1762    	6815.8557 	5106.90467225	5106.90467225	26.60634985	43.44671714	-19285.14062966	-14250.89855875	-33536.03918841
tm        	0.0001    	0.1615    	6893.3087 	5106.90467225	5106.90467225	26.80664306	43.60350306	-19592.53519758	-14365.75937109	-33958.29456867
tm        	0.0001    	0.1468    	6970.7616 	5106.90467225	5106.90467225	27.00205483	43.75680485	-19899.96095755	-14485.61652395	-34385.5774815
tm        	0.0001    	0.1321    	7048.2145 	5106.90467225	5106.90467225	27.19275884	43.90673736	-20207.41645728	-14611.10386274	-34818.52032002
tm        	0.0001    	0.1175    	7125.6674 	5106.90467225	5106.90467225	27.37892072	44.05341048	-20514.90031381	-14743.03509903	-35257.93541284
tm        	0.0001    	0.1028    	7203.1203 	5106.90467225	5106.90467225	27.56069859	44.19692933	-20822.41122864	-14882.20729511	-35704.61852375
tm        	0.0001    	0.0881    	7280.5732 	5106.90467225	5106.90467225	27.73824341	44.3373946	-21129.94798144	-15023.57467761	-36153.52265905
tm        	0.0001    	0.0734    	7358.0261 	5106.90467225	5106.90467225	27.91169939	44.47490269	-21437.50944283	-15164.81488236	-36602.32432519
tm        	0.0001    	0.0587    	7435.479  	5106.90467225	5106.90467225	28.08120436	44.60954604	-21745.09449092	-15305.92901399	-37051.02350491
tm        	0.0001    	0.044     	7512.9319 	5106.90467225	5106.90467225	28.24689012	44.74141323	-22052.70212932	-15446.91821461	-37499.62034393
tm        	0.0001    	0.0294    	7590.3848 	5106.90467225	5106.90467225	28.40888275	44.87058926	-22360.33141209	-15587.7836584	-37948.11507049
tm        	0.0001    	0.0147    	7667.8377 	5106.90467225	5106.90467225	28.56730291	44.99715567	-22667.98140968	-15728.52654699	-38396.50795667
tm        	0         	0.0       	7745.2906 	5106.90467225	5106.90467225	28.72226612	45.12119076	-22975.65124255	-15869.14810556	-38844.79934811
